#OTU ID	Taxonomy
OTU_1	k__; p__; c__; o__; f__; g__; s__
OTU_10	k__; p__; c__; o__; f__; g__; s__
OTU_100	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Sinibacillus; s__
OTU_1000	k__; p__; c__; o__; f__; g__; s__
OTU_1001	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1002	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Dothideales; s__Dothideaceae
OTU_1003	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1004	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__; s__
OTU_1005	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1006	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__; s__
OTU_1007	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Eurotiales; s__Trichocomaceae
OTU_1008	k__; p__; c__; o__; f__; g__; s__
OTU_1009	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_101	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__
OTU_1010	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1011	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Eurotiales; s__Trichocomaceae
OTU_1012	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Incertae Sedis
OTU_1013	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_1014	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Eurotiales; s__Trichocomaceae
OTU_1015	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Chaetothyriales; s__
OTU_1016	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Sordariomycetes; g__Incertae Sedis; s__Incertae Sedis
OTU_1017	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1018	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Sordariomycetes; g__Incertae Sedis; s__Incertae Sedis
OTU_1019	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_102	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia; s__Erwinia rhapontici
OTU_1020	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Chaetothyriales; s__
OTU_1021	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1022	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_1023	k__; p__; c__; o__; f__; g__; s__
OTU_1024	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__; g__; s__
OTU_1025	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1026	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus cereus
OTU_1027	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_1028	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1029	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__; s__
OTU_103	k__Bacteria; p__Firmicutes; c__Bacilli; o__Entomoplasmatales; f__Entomoplasmataceae; g__Mesoplasma; s__Mesoplasma syrphidae
OTU_1030	k__Eukaryota; p__; c__; o__; f__; g__; s__
OTU_1031	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_1032	k__; p__; c__; o__; f__; g__; s__
OTU_1033	k__Eukaryota; p__Charophyta; c__Tracheophyta; o__Spermatophyta; f__Magnoliophyta; g__; s__
OTU_1034	k__; p__; c__; o__; f__; g__; s__
OTU_1035	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Dothideomycetes; g__Pleosporales; s__Didymellaceae
OTU_1036	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__; g__; s__
OTU_1037	k__Eukaryota; p__Opisthokonta; c__Ascomycota; o__Pezizomycotina; f__Eurotiomycetes; g__Chaetothyriales; s__
